tmax,wspd,sol,presMax,dir,aptoplay
29.40,4.20,12.70,1012.70,25.00,1
29.50,3.60,11.50,1013.00,22.00,1
30.60,3.60,12.30,1013.30,25.00,1
36.10,3.60,11.90,1014.40,28.00,1
36.50,2.50,11.40,1014.80,26.00,1
37.60,2.50,12.10,1014.30,16.00,1
38.40,7.20,12.40,1012.50,12.00,1
38.90,6.40,12.30,1010.80,15.00,1
37.70,2.50,11.90,1012.20,24.00,1
39.50,3.30,11.60,1011.60,27.00,1
35.20,5.80,4.20,1011.30,31.00,1
25.60,7.50,12.50,1015.80,26.00,1
33.20,4.70,12.60,1016.40,28.00,1
33.00,5.30,11.90,1012.60,28.00,1
28.90,5.80,12.30,1010.10,23.00,1
28.60,3.90,11.90,1013.80,15.00,1
27.30,4.70,10.80,1013.60,19.00,1
24.70,3.30,2.90,1011.10,19.00,-1
24.40,3.60,4.80,1008.90,6.00,-1
26.40,3.90,11.70,1013.50,17.00,1
28.40,3.30,9.10,1013.90,99.00,1
29.80,3.30,8.50,1014.10,25.00,1
29.40,2.20,6.60,1013.80,24.00,1
29.10,3.10,9.90,1014.10,11.00,1
28.00,4.40,10.20,1013.90,25.00,1
28.90,3.90,7.10,1015.30,23.00,1
27.60,4.20,11.00,1014.90,26.00,1
27.00,4.20,11.70,1013.50,22.00,1
27.40,3.60,11.30,1012.90,19.00,1
33.20,3.60,10.70,1012.30,13.00,1
27.00,5.30,6.50,1009.80,20.00,1
25.30,2.50,4.20,1010.00,18.00,1
25.70,3.90,5.10,1014.80,22.00,1
26.00,3.30,10.00,1016.50,28.00,1
26.30,3.60,11.00,1016.00,23.00,1
26.10,4.20,10.90,1013.80,19.00,1
25.70,4.40,7.80,1013.20,21.00,1
23.70,4.70,9.40,1014.20,26.00,-1
29.70,1.90,11.00,1015.70,4.00,1
31.10,4.40,11.10,1015.60,11.00,1
29.90,2.80,11.20,1016.30,99.00,1
29.90,3.30,10.80,1016.60,11.00,1
32.00,2.50,11.10,1016.50,6.00,1
33.00,3.10,10.90,1015.10,12.00,1
34.50,3.90,10.90,1017.20,12.00,1
32.10,7.80,11.00,1019.40,11.00,1
33.80,3.90,10.90,1018.30,99.00,1
32.90,2.50,10.60,1018.00,99.00,1
33.50,2.50,10.30,1019.60,25.00,1
32.00,5.00,10.40,1021.10,11.00,1
32.00,3.30,9.00,1019.90,20.00,1
33.20,5.30,9.70,1017.90,9.00,1
33.00,5.30,7.70,1018.00,11.00,1
32.50,5.60,10.00,1018.90,13.00,1
31.00,4.40,10.20,1019.40,11.00,1
30.30,2.80,10.40,1018.60,14.00,1
30.70,2.80,9.40,1018.60,19.00,1
30.00,2.20,9.90,1017.70,11.00,1
26.50,4.40,8.70,1018.50,20.00,1
