tmax,wspd,sol,aptoplay
30.50,5.30,13.80,1
34.50,4.20,13.10,1
37.20,3.10,13.70,1
34.70,6.10,13.80,1
30.00,5.80,13.50,1
25.60,5.00,5.50,1
25.60,3.30,11.80,1
25.30,4.40,7.80,1
24.80,5.30,4.50,-1
25.60,4.70,9.80,1
25.90,4.40,13.80,1
33.60,3.90,13.80,1
37.00,3.60,13.40,1
37.20,2.80,13.10,1
37.20,2.80,13.10,1
28.30,4.40,13.60,1
31.00,3.90,13.00,1
33.00,4.20,13.20,1
29.70,4.20,14.00,1
27.70,4.20,13.00,1
28.00,4.20,13.00,1
28.60,5.80,13.60,1
30.40,5.60,13.60,1
31.20,2.80,12.70,1
34.70,4.70,4.20,1
36.80,4.20,11.10,1
30.80,5.00,12.50,1
28.70,5.00,13.60,1
33.70,3.90,12.70,1
40.30,4.20,13.30,1
39.70,3.30,12.80,1
28.90,4.20,13.00,1
28.10,2.50,12.90,1
28.50,3.60,8.50,1
33.50,1.90,11.10,1
36.00,5.60,7.00,1
28.50,3.60,8.10,1
31.10,3.10,11.90,1
30.00,3.90,12.20,1
29.30,5.00,13.00,1
29.80,3.10,11.70,1
30.20,2.80,12.80,1
30.60,3.30,11.80,1
29.20,3.60,11.60,1
31.20,4.20,10.30,1
28.80,4.20,12.20,1
30.00,3.90,8.20,1
28.10,5.60,11.10,1
27.60,5.60,11.80,1
35.30,3.30,12.50,1
36.10,3.30,12.80,1
38.30,3.90,11.40,1
37.10,4.20,13.00,1
29.30,5.30,12.70,1
29.40,3.60,7.50,1
30.20,4.70,12.50,1
27.70,5.00,6.80,1
28.40,3.90,11.00,1
31.80,3.90,11.90,1
33.00,2.80,11.60,1
30.80,3.60,10.70,1
33.00,3.90,11.70,1
28.80,4.40,7.20,1
30.40,3.60,5.10,1
32.60,3.10,8.70,1
30.20,4.70,8.20,1
29.30,4.20,7.10,1
27.80,3.90,12.00,1
26.50,4.20,12.70,1
27.70,3.30,10.30,1
27.60,5.30,11.50,1
27.50,3.60,11.20,1
28.00,3.60,4.20,1
27.20,5.00,11.50,1
26.00,3.10,10.70,1
26.10,4.20,10.80,1
24.80,3.90,11.00,-1
26.60,2.80,9.00,1
29.70,2.80,11.20,1
31.20,9.20,10.10,-1
33.40,3.60,10.60,1
31.30,2.80,9.30,1
26.30,5.60,6.40,1
26.70,5.60,10.00,1
26.10,3.90,3.50,1
27.80,3.10,2.40,1
27.50,3.10,10.30,1
26.10,3.90,7.80,1
25.30,3.30,8.30,1
24.50,4.70,10.40,-1
24.80,3.90,0.50,-1
26.00,5.00,3.40,1
25.00,5.60,9.60,1
29.20,2.80,10.00,1
30.80,4.70,10.40,1
31.00,3.10,9.80,1
27.90,2.80,8.00,1
26.10,6.10,10.20,1
25.80,5.60,8.60,1
26.10,5.00,9.60,1
26.50,4.20,9.30,1
27.40,2.50,8.00,1
25.00,4.40,2.70,1
25.00,3.10,7.60,1
23.10,7.50,0.60,-1
23.20,2.50,6.40,-1
24.00,4.40,2.30,-1
22.40,7.50,0.20,-1
26.00,3.30,6.60,1
25.20,2.20,5.20,1
21.90,7.80,0.00,-1
23.30,5.00,3.80,-1
22.00,5.30,9.00,-1
22.00,2.50,5.30,-1
24.20,3.60,7.00,-1
27.30,3.30,8.90,1
29.50,0.80,10.10,1
28.20,3.90,9.30,1
26.50,6.90,9.00,1
27.10,6.10,8.00,1
22.90,4.70,4.70,-1
19.40,5.60,4.90,-1
19.00,2.80,8.80,-1
20.40,5.00,4.00,-1
16.40,2.50,0.00,-1
18.60,2.80,0.00,-1
21.30,5.30,4.30,-1
20.80,2.50,1.00,-1
24.50,2.80,8.20,-1
23.80,6.90,4.80,-1
23.80,3.30,9.00,-1
24.50,2.50,8.90,-1
23.90,5.30,8.00,-1
24.50,6.10,7.40,-1
22.20,4.40,0.60,-1
22.80,2.50,6.50,-1
23.90,3.60,7.80,-1
23.50,2.50,8.90,-1
22.20,3.30,9.50,-1
17.20,1.40,7.30,-1
19.10,2.80,0.00,-1
22.50,8.30,4.00,-1
23.40,12.20,5.00,-1
22.50,1.90,4.30,-1
22.50,2.20,6.40,-1
18.20,3.90,9.00,-1
18.90,2.20,4.80,-1
20.90,3.10,6.10,-1
22.80,6.10,7.60,-1
21.60,9.20,5.00,-1
22.00,5.00,0.00,-1
22.00,2.80,2.40,-1
21.00,1.90,8.70,-1
23.70,4.40,7.00,-1
22.20,3.30,0.10,-1
23.80,3.60,3.40,-1
22.40,3.30,0.00,-1
18.00,3.10,1.00,-1
20.20,2.80,1.00,-1
18.80,2.20,5.10,-1
19.80,3.10,7.50,-1
21.10,3.90,8.50,-1
